iter	Logloss
0	0.6580651886
1	0.6234641763
2	0.5939617252
3	0.5720344657
4	0.5525339231
5	0.5406417467
6	0.5270558827
7	0.5146833581
8	0.5070923763
9	0.4979796908
10	0.4904345612
11	0.4879811605
12	0.4848893199
13	0.4811254852
14	0.4764802088
15	0.4749129186
16	0.4718772167
17	0.4705407062
18	0.4680468052
19	0.4666416681
20	0.4655851298
21	0.4634173948
22	0.4609201915
23	0.4598042123
24	0.4584602242
25	0.4566453013
26	0.4559193701
27	0.4551813306
28	0.4545255822
29	0.4533987472
30	0.4519578545
31	0.451030029
32	0.4507522583
33	0.4504360749
34	0.4501866583
35	0.4499133665
36	0.4494736705
37	0.4490187156
38	0.4478528227
39	0.4468071022
40	0.4464276062
41	0.4459714368
42	0.4454778415
43	0.4443662273
44	0.443988857
45	0.4434102756
46	0.443126204
47	0.4421525642
48	0.4416508461
49	0.4413463156
50	0.4406180311
51	0.4406151084
52	0.4404619511
53	0.4398535733
54	0.4394125108
55	0.4388114967
56	0.4386273284
57	0.4376654174
58	0.4367586202
59	0.4364768261
60	0.4359385932
61	0.4357801599
62	0.4355822511
63	0.4348516512
64	0.4341984839
65	0.4339133116
66	0.4333676011
67	0.433091918
68	0.4325545581
69	0.4321445446
70	0.4318225158
71	0.4315147969
72	0.4310951043
73	0.4306401495
74	0.430331178
75	0.4298403536
76	0.4293649778
77	0.4290166447
78	0.4284699094
79	0.4280099062
80	0.4276283606
81	0.4272561144
82	0.4265608147
83	0.4262828163
84	0.4258107048
85	0.4251332449
86	0.424650012
87	0.4239603678
88	0.4231228805
89	0.4227428531
90	0.4220999343
91	0.4211857734
92	0.4202762053
93	0.4196409159
94	0.4190197465
95	0.4183406545
96	0.4174485088
97	0.4168966872
98	0.4157637032
99	0.4149554808
100	0.4142911921
101	0.4138197638
102	0.4127788639
103	0.4121043647
104	0.4115410041
105	0.4112685094
106	0.4106151524
107	0.4097372786
108	0.4087007437
109	0.4077289638
110	0.4068045925
111	0.4060227883
112	0.4052145659
113	0.4049341382
114	0.4038436662
115	0.4030324452
116	0.402305641
117	0.4012916147
118	0.4001366914
119	0.399070474
120	0.3982337458
121	0.39725483
122	0.3967074494
123	0.3960835851
124	0.395160694
125	0.3942347285
126	0.3934878829
127	0.3928888805
128	0.3916620283
129	0.3908376741
130	0.3905268427
131	0.3900341584
132	0.3892050976
133	0.3882262956
134	0.3880469858
135	0.387732093
136	0.3865931117
137	0.3855256797
138	0.385042219
139	0.3848513703
140	0.3840268263
141	0.3835985933
142	0.3834060745
143	0.3828538733
144	0.3826567996
145	0.3820167276
146	0.3810515143
147	0.3802780607
148	0.3796754144
149	0.3792243312
150	0.3783820613
151	0.3779535246
152	0.3774487699
153	0.3765386705
154	0.3759004963
155	0.3746706834
156	0.3737323059
157	0.3730531
158	0.3723009783
159	0.3713220245
160	0.3706554584
161	0.369948316
162	0.3689855699
163	0.3683234068
164	0.3678244596
165	0.3673708712
166	0.3666649814
167	0.3657888915
168	0.365420517
169	0.3646738992
170	0.3635593243
171	0.3627355395
172	0.3618017548
173	0.3609266898
174	0.3596624118
175	0.358890894
176	0.3581020678
177	0.3574314023
178	0.3566973482
179	0.355889847
180	0.3554930426
181	0.3549748511
182	0.3542531331
183	0.3534983165
184	0.3527605806
185	0.3524501668
186	0.3521965368
187	0.3517133419
188	0.3509103955
189	0.3504083738
190	0.349598747
191	0.3486549795
192	0.3480459185
193	0.3471112228
194	0.3463122619
195	0.3452736394
196	0.3450969867
197	0.3439890923
198	0.3435382748
199	0.3430346589
200	0.3423924992
201	0.3417878032
202	0.3411280314
203	0.3405205266
204	0.3400612447
205	0.3394329014
206	0.3393232051
207	0.3389321702
208	0.338896035
209	0.3383951899
210	0.3377529922
211	0.3370127891
212	0.3366330275
213	0.3364298806
214	0.3354871
215	0.3345754823
216	0.3340652238
217	0.333530483
218	0.3331008456
219	0.332393817
220	0.3315769025
221	0.3313961124
222	0.3306368168
223	0.329958408
224	0.3293753477
225	0.3293067591
226	0.3287759278
227	0.3280761111
228	0.3274847002
229	0.3268298249
230	0.3264010225
231	0.3262565575
232	0.3253935249
233	0.3249294604
234	0.3241308412
235	0.3230211628
236	0.322602495
237	0.3218850662
238	0.3209407674
